"time.string","FLOW.OF.ALGAE","FLOW.OF.CO2","PAR.1","PAR.2","PRESSURE","SPEED","SUM.OF.WATER","TEMPERATURE","THICKNESS.OF.ALGAE","TURBIDITY","VOLUME.IN.TANK","pCO2","pH","pO2","TURBIDITY.diff","date","time","daily.evap","avg.daily.temp","daynight"
2023-10-02 19:10:00,13.985532,0.002893518,0,1.736111,13.369792,81.400153,251.8062,20.32986,6.0568984,0.02893517,58.639841,3.5086909,3.919864,7.0051967,0,2023-10-02,"19:10:00",NA,NA,0
2023-10-02 19:20:00,14.072916,0.002893518,0,1.736111,13.482638,81.738383,251.8062,20.19965,6.0208923,0.02893517,57.791536,3.4590996,3.9175153,7.0294869,0,2023-10-02,"19:20:00",NA,NA,0
2023-10-02 19:30:00,14.131365,0.002893518,0,1.736111,13.494791,81.923707,251.8062,20.081017,6.0375253,0.02893517,57.04532,3.4115792,3.917246,7.0542966,0,2023-10-02,"19:30:00",NA,NA,0
2023-10-02 19:40:00,14.058449,0.002893518,0,1.736111,13.454861,81.792953,251.8062,19.942129,6.0049797,0.02893517,57.297227,3.3615021,3.9155956,7.0804082,0,2023-10-02,"19:40:00",NA,NA,0
2023-10-02 19:50:00,14.008101,0.002893518,0,1.736111,13.430555,81.667868,251.8062,19.820603,6.0226912,0.02893517,57.556152,3.312632,3.9143138,7.107566,0,2023-10-02,"19:50:00",NA,NA,0
2023-10-02 20:00:00,14.086226,0.0026041662,0,1.736111,13.526042,81.876933,251.8062,19.71065,6.0457616,0.02893517,56.739628,3.2694048,3.9132655,7.1302283,0,2023-10-02,"20:00:00",NA,NA,0
2023-10-02 20:10:00,13.915509,0.002893518,0,1.736111,13.388889,81.446531,251.8062,19.592014,6.0286231,0.02893517,57.947044,3.230234,3.9121634,7.1537857,0,2023-10-02,"20:10:00",NA,NA,0
2023-10-02 20:20:00,13.979745,0.0026041662,0,1.736111,13.465279,81.602555,251.8062,19.484951,5.9918907,0.02893517,57.484704,3.1966421,3.9095602,7.1772212,0,2023-10-02,"20:20:00",NA,NA,0
2023-10-02 20:30:00,13.991897,0.002893518,0,1.736111,13.473958,81.61095,251.8062,19.374998,6.0069306,0.02893517,57.02762,3.1607982,3.9090331,7.201099,0,2023-10-02,"20:30:00",NA,NA,0
2023-10-02 20:40:00,14.060765,0.002893518,0,1.736111,13.52604,81.759912,251.8062,19.265046,6.0337662,0.02893517,55.987744,3.1281168,3.9090584,7.2219251,0,2023-10-02,"20:40:00",NA,NA,0
2023-10-02 20:50:00,14.066551,0.002893518,0,1.736111,13.538196,81.831382,251.8062,19.152198,6.0461654,0.02893517,56.037344,3.0982419,3.9054528,7.2445377,0,2023-10-02,"20:50:00",NA,NA,0
2023-10-02 21:00:00,14.052084,0.002893518,0,1.736111,13.520832,81.782573,251.8062,19.033565,6.0350097,0.02893517,55.973314,3.0712345,3.9050908,7.2702194,0,2023-10-02,"21:00:00",NA,NA,0
2023-10-02 21:10:00,14.050925,0.0026041662,0,1.736111,13.538195,81.774679,251.8062,18.923613,6.0181475,0.02893517,55.755177,3.0430018,3.905091,7.294139,0,2023-10-02,"21:10:00",NA,NA,0
2023-10-02 21:20:00,14.083911,0.002893518,0,1.736111,13.526041,81.873805,251.8062,18.81655,5.9899183,0.02893517,55.458862,3.0154547,3.9029504,7.3170392,0,2023-10-02,"21:20:00",NA,NA,0
2023-10-02 21:30:00,14.146991,0.002893518,0,1.736111,13.611113,82.010859,251.8062,18.709489,6.0024095,0.02893517,54.88605,2.9930688,3.9010152,7.3398583,0,2023-10-02,"21:30:00",NA,NA,0
2023-10-02 21:40:00,14.037615,0.002893518,0,1.736111,13.526042,81.753997,251.8062,18.605323,5.9838618,0.02893517,55.526516,2.9688336,3.9000832,7.3604537,0,2023-10-02,"21:40:00",NA,NA,0
2023-10-02 21:50:00,14.010417,0.002893518,0,1.736111,13.510417,81.648355,251.8062,18.515623,6.0676688,0.02893517,55.459256,2.949486,3.9010142,7.379677,0,2023-10-02,"21:50:00",NA,NA,0
2023-10-02 22:00:00,14.055554,0.002893518,0,1.736111,13.578125,81.735785,251.8062,18.4375,6.0105802,0.02893517,54.887806,2.9300675,3.8987625,7.3951872,0,2023-10-02,"22:00:00",NA,NA,0
2023-10-02 22:10:00,14.047452,0.002893518,0,1.736111,13.531251,81.673796,251.8062,18.370949,6.0046121,0.02893517,55.019905,2.9123319,3.8969999,7.4130339,0,2023-10-02,"22:10:00",NA,NA,0
2023-10-02 22:20:00,14.050925,0.002893518,0,1.736111,13.548611,81.689777,251.8062,18.287037,6.0351952,0.02893517,54.787215,2.895771,3.8956204,7.4283192,0,2023-10-02,"22:20:00",NA,NA,0
2023-10-02 22:30:00,14.076388,0.002893518,0,1.736111,13.592013,81.816267,251.8062,18.211807,5.9750543,0.02893517,54.320038,2.8779908,3.8957784,7.4469729,0,2023-10-02,"22:30:00",NA,NA,0
2023-10-02 22:40:00,14.023148,0.002893518,0,1.736111,13.545139,81.737118,251.8062,18.127895,5.96985,0.02893517,54.707555,2.8610974,3.8936748,7.4664422,0,2023-10-02,"22:40:00",NA,NA,0
2023-10-02 22:50:00,14.1068677777778,0.002893518,0,1.736111,13.6361877777778,81.98996,251.8062,18.0555566666667,5.95595322222222,0.0289801655555556,53.8893733333333,2.84833711111111,3.89305744444444,7.48359077777778,4.49955555555555e-05,2023-10-02,"22:50:00",NA,NA,0
2023-10-02 23:00:00,14.08044,0.002893518,0,1.736111,13.609374,81.858065,251.8062,17.97164,6.0987847,0.028803702,53.583762,2.8334228,3.8928858,7.4995874,-0.000176463555555555,2023-10-02,"23:00:00",NA,NA,0
2023-10-02 23:10:00,14.041665,0.002893518,0,1.736111,13.600694,81.738736,251.8062,17.89641,6.0212804,0.028825736,54.20592,2.8167288,3.8904893,7.5195245,2.20340000000006e-05,2023-10-02,"23:10:00",NA,NA,0
2023-10-02 23:20:00,14.029514,0.002893518,0,1.736111,13.571181,81.648409,251.8062,17.82986,6.0508682,0.028918712,54.114499,2.8070156,3.8889593,7.5329067,9.29759999999981e-05,2023-10-02,"23:20:00",NA,NA,0
2023-10-02 23:30:00,13.883101,0.0026041662,0,1.736111,13.489583,81.274098,251.8062,17.78067,6.0166838,0.028926842,55.081619,2.7936517,3.88889,7.5435471,8.13000000000202e-06,2023-10-02,"23:30:00",NA,NA,0
2023-10-02 23:40:00,14.036459,0.0026041662,0,1.736111,13.585071,81.624248,251.8062,17.725694,6.0508826,0.02893517,53.618109,2.7839541,3.8887895,7.5578781,8.32799999999842e-06,2023-10-02,"23:40:00",NA,NA,0
2023-10-02 23:50:00,14.228587,0.0026041662,0,1.736111,13.687498,82.19147,251.8062,17.676504,6.0369467,0.02893517,51.818751,2.7732502,3.887316,7.5709575,0,2023-10-02,"23:50:00",230.3661984,22.5394760089787,0
2023-10-03,14.131945,0.0026041662,0,1.736111,13.640624,81.98987,251.8062,17.630208,5.9765223,0.02893517,52.919617,2.7617306,3.8856509,7.5816827,0,2023-10-03,"00:00:00",NA,NA,0
2023-10-03 00:10:00,14.167244,0.002893518,0,1.736111,13.680557,82.083574,251.8062,17.583911,6.0156758,0.02893517,52.218042,2.7530425,3.8852343,7.5903989,0,2023-10-03,"00:10:00",NA,NA,0
2023-10-03 00:20:00,13.970485,0.002893518,0,1.736111,13.513888,81.580857,251.8062,17.54919,6.0287941,0.02893517,53.67996,2.7445054,3.885105,7.5975884,0,2023-10-03,"00:20:00",NA,NA,0
2023-10-03 00:30:00,14.13368,0.002893518,0,1.736111,13.675347,82.028702,251.8062,17.514469,5.8859381,0.02893517,52.516505,2.7355851,3.8846006,7.6051556,0,2023-10-03,"00:30:00",NA,NA,0
2023-10-03 00:40:00,14.117476,0.002893518,0,1.736111,13.638889,81.967582,251.8062,17.488426,6.0159582,0.02893517,52.32761,2.7296676,3.8844421,7.6117661,0,2023-10-03,"00:40:00",NA,NA,0
2023-10-03 00:50:00,13.932868,0.0026041662,0,1.736111,13.526042,81.637393,251.8062,17.473957,5.8531252,0.02893517,53.855344,2.724604,3.8840911,7.6153258,0,2023-10-03,"00:50:00",NA,NA,0
2023-10-03 01:00:00,14.152778,0.002893518,0,1.736111,13.623262,82.163137,251.8062,17.453706,6.0310301,0.02893517,51.61706,2.7198546,3.884312,7.6215136,0,2023-10-03,"01:00:00",NA,NA,0
